600
//Name			RES SPRITENAME	X	Y	WIDTH	HEIGHT
selection			320 320hud1	160	160	80	20

bucket1			320 320hud2	108	16	12	12
bucket2			320 320hud2	108	28	12	12
bucket3			320 320hud2	108	40	12	12	
bucket4			320 320hud2	108	52	12	12
bucket5			320 320hud2	108	64	12	12				
bucket0			320 320hud2	108	76	12	12

dmg_bio			320 320hud4	0	0	32	32
dmg_poison		320 320hud4	0	0	32	32
dmg_chem		320 320hud4	32	0	32	32
dmg_cold		320 320hud4	64	0	32	32
dmg_drown		320 320hud4	96	0	32	32
dmg_heat		320 320hud4	128	0	32	32
dmg_gas			320 320hud4	160	0	32	32
dmg_rad			320 320hud4	192	0	32	32
dmg_shock		320 320hud4	224	0	32	32

number_0		320 320hud2	0	0	12  16
number_1		320 320hud2	12	0	12  16
number_2		320 320hud2	24	0	12  16
number_3		320 320hud2	36	0	12  16
number_4		320 320hud2	48	0	12  16
number_5		320 320hud2	60	0	12  16
number_6		320 320hud2	72	0	12  16
number_7		320 320hud2	84	0	12  16
number_8		320 320hud2	96	0	12  16
number_9		320 320hud2	108	0	12  16

char_a			320 MShudtext	0	12	9  	17
char_b			320 MShudtext	9	12	9  	16
char_c			320 MShudtext	17	12	7  	16
char_d			320 MShudtext	24	12	10  	17
char_e			320 MShudtext	33	12	9  	19
char_f			320 MShudtext	42	12	7  	22
char_g			320 MShudtext	48	12	10  	22
char_h			320 MShudtext	57	12	9  	16
char_i			320 MShudtext	68	12	4  	16
char_j			320 MShudtext	73	12	5  	20
char_k			320 MShudtext	79	12	9  	16
char_l			320 MShudtext	86	12	5  	16
char_m			320 MShudtext	91	12	14  	17
char_n			320 MShudtext	106	12	10  	16
char_o			320 MShudtext	115	12	9  	16
char_p			320 MShudtext	124	12	9  	22
char_q			320 MShudtext	135	12	9  	22
char_r			320 MShudtext	141	12	8  	16
char_s			320 MShudtext	150	12	8  	20
char_t			320 MShudtext	158	12	6  	17
char_u			320 MShudtext	164	12	9  	16
char_v			320 MShudtext	173	12	9  	17
char_w			320 MShudtext	182	12	15  	17
char_x			320 MShudtext	196	12	11  	19
char_y			320 MShudtext	208	12	10  	23
char_z			320 MShudtext	219	12	10  	16

char_A			320 MShudtext	0	36	23  	22
char_B			320 MShudtext	9	12	9  	16
char_C			320 MShudtext	40	36	16  	18
char_D			320 MShudtext	55	36	17  	23
char_E			320 MShudtext	72	36	16  	23
char_F			320 MShudtext	88	36	18  	23
char_G			320 MShudtext	49	12	9  	22
char_H			320 MShudtext	120	36	22  	22
char_I			320 MShudtext	142	36	13  	22
char_J			320 MShudtext	73	12	5  	20
char_K			320 MShudtext	79	12	9  	16
char_L			320 MShudtext	88	12	5  	16
char_M			320 MShudtext	206	36	24  	21
char_N			320 MShudtext	106	12	10  	16
char_O			320 MShudtext	116	12	8  	16
char_P			320 MShudtext	15	60	18  	23
char_Q			320 MShudtext	135	12	9  	22
char_R			320 MShudtext	47	60	19  	22
char_S			320 MShudtext	65	60	17  	23
char_T			320 MShudtext	81	60	18  	22
char_U			320 MShudtext	164	12	9  	16
char_V			320 MShudtext	175	12	9  	16
char_W			320 MShudtext	137	60	25  	22
char_X			320 MShudtext	198	12	11  	19
char_Y			320 MShudtext	209	12	10  	23
char_Z			320 MShudtext	219	12	10  	16

charslash		320 MShudtext	0	83	12  	21
charcolon		320 MShudtext	17	84	9  	18

//divider		320 320hud2	120	0	1	20

cross			320 320hud2	0	72	16	16

suit_full		320 320hud2	0	52	20	20
suit_empty		320 320hud2	20	52	20	20

flash_full		320 320hud2	16	72	18	16
flash_empty		320 320hud2	34	72	18	16
flash_beam		320 320hud2	52	72	6	16

train_back		320	320hud3 0	0	48	48
train_stop		320	320hud3 48	0	48	48
train_forward1		320	320hud3 96	0	48	48
train_forward2		320	320hud3 144	0	48	48
train_forward3		320	320hud3 192	0	48	48

title_half		320 320hud3 	0	48	128	16
title_life		320 320hud3 	128 48	116	16

d_skull			320 320hud1	192	240	32	16
d_tracktrain		320 320hud1	224	208	32	16

item_battery		320 320hud2	48	52	20	20
item_healthkit		320 320hud2	68	52	20	20
item_longjump		320 320hud2	88	52	20	20

grenade			320 320hud2     36      34      18      18

smlnum_0 		320 MShudtext	0	0	8  	10
smlnum_1 		320 MShudtext	9	0	6  	10
smlnum_2 		320 MShudtext	15	0	8  	10
smlnum_3 		320 MShudtext	22	0	7  	10
smlnum_4 		320 MShudtext	28	0	9  	10
smlnum_5 		320 MShudtext	37	0	7  	10
smlnum_6 		320 MShudtext	44	0	7  	10
smlnum_7 		320 MShudtext	51	0	8  	10
smlnum_8 		320 MShudtext	59	0	7  	10
smlnum_9 		320 MShudtext	66	0	7  	10
smlslash		320 MShudtext	73	0	5  	10

//inventory_xtra		320 invxtra	  	0	0	64	16

hnd_l  			320 MSHandWpns  0	201	32	28
hnd_r  			320 MSHandWpns  0	229	32	28
hnd_skullblade		320 MSHandWpns  0	0	32	116
hnd_battleaxe   	320 MSHandWpns  32	0	46	116
hnd_merldagger  	320 MSHandWpns  0	116	32	85
hnd_torch  		320 MSHandItms  0	0	24	85
hnd_ironshield 		320 MSHandItms  24	0	56	73
